year,A05,A059,A045,A32,A327,A02,A020,A021,A029,A043,A053,A046
1999,0,1,1,0,24,0,27,37,6,0,2,0
2000,0,2,7,0,23,0,17,30,7,0,1,1
2001,0,2,4,0,17,0,25,36,15,0,1,0
2002,0,0,0,0,19,0,17,20,5,0,4,0
2003,0,1,1,0,18,0,23,29,12,0,1,0
2004,0,1,1,0,14,0,15,26,12,0,0,0
2005,0,1,2,0,21,0,17,27,8,0,1,4
2006,0,1,2,0,14,0,26,16,6,0,2,0
2007,0,1,0,0,16,0,16,23,25,0,0,0
2008,0,2,2,0,13,0,21,25,30,0,2,1
2009,0,2,4,0,14,0,8,20,22,1,0,0
2010,0,0,4,0,15,0,9,20,24,0,0,0
2011,0,0,7,0,28,0,20,30,32,0,0,0
2012,0,1,5,0,12,0,18,36,18,1,0,0
2013,0,0,12,0,14,0,18,29,24,0,0,0
2014,0,2,7,0,19,0,20,35,29,0,0,1
2015,0,2,5,0,12,0,28,34,43,0,2,1
2016,0,1,12,0,17,0,12,34,25,0,1,3
2017,0,2,12,0,21,0,14,38,53,0,0,1
2018,0,3,23,0,19,0,22,39,48,0,1,1
2019,0,1,8,0,14,0,22,31,42,1,0,1
2020,0,2,21,0,17,0,25,37,60,0,3,2
